WikiID,Entity,Type
Q2573410,Selamat Datang Monument,Monument
Q257513,Church of Nuestra Señora de la Purificación,Monument
Q2577054,Monument to the Liberators of Soviet Latvia and Riga from the German Fascist Invaders,Monument
Q2580841,Monasterio de Santa María de la Rábida,Monument
Q2581799,Willy Brandt Memorial,Monument
Q2583106,Torre de Meer,Monument
Q2584017,Sibelius Monument,Monument
Q2592297,Wolfsdenkmal,Monument
Q2592315,"Priessnitz Monument, Laag-Soeren",Monument
Q2606632,Torre de la Plata,Monument
Q260920,Monastery of Santa María de Matallana,Monument
Q2627416,Moscow Triumphal Gate,Monument
Q2627735,Roman theatre of Cartagena,Monument
